B_size,seed,scrambler_layers,emission_time,petz_entanglement_fidelity,noise_model,noise_depth,synthesis_method,claim,geometry,architecture_diameter,causal_line_lower_bound,logical_cnot_count,logical_two_qubit_depth,mean_logical_interaction_distance,routing_swap_count,routed_cnot_count,routed_two_qubit_depth,final_entanglement_fidelity,status
4,4019,6,2,0.9999999999999969,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,25,16,1.4,18,79,70,0.9999999999999943,validated
4,4000,9,1,0.4999999999999975,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4000,9,2,0.9999999999999956,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,32,25,1.46875,0,32,25,0.9999999999999909,validated
4,4000,9,2,0.9999999999999956,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,32,25,1.46875,20,92,65,0.9999999999999909,validated
4,4001,9,1,0.499999999999998,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4001,9,2,0.999999999999996,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,22,21,1.6818181818181819,0,22,21,0.999999999999992,validated
4,4001,9,2,0.999999999999996,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,22,21,1.6818181818181819,16,70,57,0.999999999999992,validated
4,4002,9,1,0.9999999999999962,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4002,9,2,0.9999999999999957,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,29,20,1.3793103448275863,0,29,20,0.9999999999999913,validated
4,4002,9,2,0.9999999999999957,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,4,29,20,1.3793103448275863,22,95,75,0.9999999999999913,validated
4,4003,9,1,0.49999999999999706,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4003,9,2,0.9999999999999951,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,33,25,1.5151515151515151,0,33,25,0.9999999999999906,validated
4,4003,9,2,0.9999999999999951,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,33,25,1.5151515151515151,18,87,66,0.9999999999999906,validated
4,4004,9,1,0.9999999999999951,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,not_compiled,,,,,,,,,,Petz-only baseline; no circuit compiled
4,4004,9,2,0.9999999999999953,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,all_to_all_logical,1,0,31,25,1.4838709677419355,0,31,25,0.9999999999999922,validated
4,4004,9,2,0.9999999999999953,ideal,0,signed_symplectic_Clifford,observed construction; not minimal,line_E0-E1-E2-E3-D0-D1,5,5,31,25,1.4838709677419355,24,103,90,0.9999999999999922,validated
